id,created_at,text
1427807754882801666,2021-08-18 01:41:10,"Heading west. See you soon, Vancouver. https://t.co/HCZOrzXWAg"
1427807630794366978,2021-08-18 01:40:41,"En route vers l’Ouest. À bientôt, Vancouver! https://t.co/erTEewWgMf"
1427792913455624197,2021-08-18 00:42:12,"It’s the little things in life - like grabbing a beer with a friend - that we’ve all missed because of the pandemic. And as more and more Canadians get vaccinated, the safer getting together with friends and family becomes. So please get your shot if you haven’t already. https://t.co/1u51ZR8DNo"
1427792893536784386,2021-08-18 00:42:07,"Plus les Canadiens sont nombreux à se faire vacciner, plus vite nous pourrons profiter des petits plaisirs de la vie de façon sécuritaire, comme celui de prendre une bonne bière froide entre amis. Si ce n’est pas déjà fait, faites-vous vacciner. https://t.co/yAt58hNSvN"
1427782696206573570,2021-08-18 00:01:36,"RT @liberal_party: Our Liberal government has already signed child care deals with 8 provinces and territories. We can’t stop now. 

We’ll…"
1427782669665021954,2021-08-18 00:01:30,RT @parti_liberal: Notre gouvernement libéral a déjà signé des ententes sur les services d’apprentissage et de garde de jeunes enfants avec…
1427782498097025029,2021-08-18 00:00:49,RT @cafreeland: Early learning and child care is very important to me both as a working mother &amp; as a person who spends a lot of time think…
1427782482049576965,2021-08-18 00:00:45,"RT @cafreeland: Les services de garde d'enfants sont importants pour moi, en tant que mère qui travaille + en tant que personne qui passe b…"
1427765166628909063,2021-08-17 22:51:56,"I am disgusted and I am angry that @RachelBendayan and @AHousefather had signs vandalized with antisemitic graffiti. It is completely unacceptable. I stand in solidarity with Rachel and Anthony, and the entire Jewish community, against this type of hatred."
1427765153668403201,2021-08-17 22:51:53,"Je suis dégoûté et fâché que les pancartes de @RachelBendayan et @AHousefather aient été vandalisées de graffitis antisémites. C’est tout simplement inacceptable. Je suis solidaire avec Rachel, Anthony et la communauté juive dans la lutte contre ce type de haine."
1427743143277993985,2021-08-17 21:24:26,"Parents can’t afford to move backwards. 

We can’t afford to have Conservatives take Canada back. 

That’s why we need to move forward with $10 a day child care.

#ForwardForEveryone https://t.co/9KzbZqTYkv"
1427743114580484099,2021-08-17 21:24:19,"Les parents ne peuvent pas se permettre un retour en arrière.

Nous ne pouvons pas laisser les conservateurs ramener le Canada en arrière. 

C’est pourquoi nous devons choisir d’avancer avec des services de garde à 10 $ par jour, partout au pays.

#AvançonsEnsemble https://t.co/ykAPIaFC1r"
1427690939129212928,2021-08-17 17:56:59,"We’re moving forward with $10 a day child care for all Canadians — because every single kid deserves the best possible start in life. https://t.co/dka0akQwqn 

#ForwardForEveryone https://t.co/1GL4M4Jl7H"
1427690928106524678,2021-08-17 17:56:57,"Nous nous engageons à ce que tous les Canadiens aient accès à un service de garde pour jeunes enfants à 10 $ par jour — parce que chaque enfant mérite le meilleur départ dans la vie. https://t.co/7cSKGO91wC 

#AvançonsEnsemble https://t.co/pOZ0aaNs51"
1427641094343467016,2021-08-17 14:38:55,The time for a Canada-wide early learning and child care system is now. Watch live for more on our plan to make $10 a day child care a reality for all Canadians:  https://t.co/vs8RzWgKuj
